team,total_shootouts,shootouts_won,penalty_win_rate
Rwanda,5,2,0.4
Réunion,6,4,0.6666666666666666
Saare County,1,0,0.5
Saint Kitts and Nevis,4,2,0.5
Saint Lucia,2,1,0.5
Saudi Arabia,9,7,0.7777777777777778
Scotland,2,2,0.5
Sealand,2,1,0.5
Senegal,21,11,0.5238095238095238
Serbia,3,1,0.3333333333333333
Seychelles,4,4,1.0
Shetland,1,0,0.5
Sierra Leone,8,2,0.25
Singapore,10,3,0.3
Sint Maarten,1,0,0.5
Slovakia,2,2,0.5
Slovenia,2,1,0.5
Solomon Islands,3,1,0.3333333333333333
Somalia,3,0,0.0
South Africa,28,13,0.4642857142857143
South Ossetia,2,2,0.5
Spain,14,7,0.5
Sri Lanka,5,3,0.6
Sudan,3,1,0.3333333333333333
Suriname,4,2,0.5
Sweden,6,4,0.6666666666666666
Switzerland,8,2,0.25
Syria,11,4,0.36363636363636365
Székely Land,1,0,0.5
Sápmi,1,1,0.5
Tahiti,2,2,0.5
Taiwan,1,1,0.5
Tajikistan,4,3,0.75
Tanzania,9,4,0.4444444444444444
Thailand,22,13,0.5909090909090909
Tibet,1,0,0.5
Togo,4,3,0.75
Trinidad and Tobago,5,2,0.4
Tunisia,13,7,0.5384615384615384
Turks and Caicos Islands,2,0,0.5
Türkiye,1,1,0.5
Uganda,18,7,0.3888888888888889
Ukraine,4,3,0.75
United Arab Emirates,11,5,0.45454545454545453
United Koreans in Japan,3,2,0.6666666666666666
United States,10,6,0.6
United States Virgin Islands,2,1,0.5
Uruguay,17,9,0.5294117647058824
Uzbekistan,5,2,0.4
Vanuatu,2,1,0.5
Venezuela,3,0,0.0
Vietnam,2,2,0.5
Vietnam Republic,3,2,0.6666666666666666
Wales,2,0,0.5
Western Armenia,2,2,0.5
Western Isles,2,1,0.5
Yemen,1,0,0.5
Ynys Môn,2,1,0.5
Yugoslavia,2,0,0.5
Zambia,25,14,0.56
Zanzibar,3,2,0.6666666666666666
Zimbabwe,15,7,0.4666666666666667
Åland Islands,3,3,1.0
